date,gold,sp500
26-Feb-16,1226.5,1948.050049
25-Feb-16,1236,1951.699951
24-Feb-16,1250.8,1929.800049
23-Feb-16,1221.4,1921.27002
22-Feb-16,1211,1945.5
19-Feb-16,1231.2,1917.780029
18-Feb-16,1210.1,1917.829956
17-Feb-16,1210,1926.819946
16-Feb-16,1209.5,1895.579956
15-Feb-16,1208.2,1864.780029
12-Feb-16,1239.8,1864.780029
11-Feb-16,1241,1829.079956
10-Feb-16,1190,1851.859985
9-Feb-16,1191,1852.209961
8-Feb-16,1193.3,1853.439941
5-Feb-16,1150.4,1880.050049
4-Feb-16,1156.4,1915.449951
3-Feb-16,1132,1912.530029
2-Feb-16,1128.5,1903.030029
1-Feb-16,1126.5,1939.380005
29-Jan-16,1111.8,1940.23999
28-Jan-16,1114,1893.359985
27-Jan-16,1116.3,1882.949951
26-Jan-16,1113.6,1903.630005
25-Jan-16,1106.6,1877.079956
22-Jan-16,1096.3,1906.900024
21-Jan-16,1096.5,1868.98999
20-Jan-16,1101.8,1859.329956
19-Jan-16,1086.3,1881.329956
18-Jan-16,1089.2,1880.329956
15-Jan-16,1093.8,1880.329956
14-Jan-16,1088.4,1921.839966
13-Jan-16,1088.2,1890.280029
12-Jan-16,1085.4,1938.680054
11-Jan-16,1100.8,1923.670044
8-Jan-16,1101.9,1922.030029
7-Jan-16,1106.4,1943.089966
6-Jan-16,1091.4,1990.26001
5-Jan-16,1077,2016.709961
4-Jan-16,1082.3,2012.660034
1-Jan-16,1060,2043.939941
31-Dec-15,1060,2043.939941
30-Dec-15,1060,2063.360107
29-Dec-15,1070.1,2078.360107
28-Dec-15,1068.3,2056.5
25-Dec-15,1068.3,2060.98999
24-Dec-15,1068.3,2060.98999
23-Dec-15,1068.3,2064.290039
22-Dec-15,1074.9,2038.969971
21-Dec-15,1078.8,2021.150024
18-Dec-15,1062.5,2005.550049
17-Dec-15,1049.4,2041.890015
16-Dec-15,1075.3,2073.070068
15-Dec-15,1061.5,2043.410034
14-Dec-15,1068.3,2021.939941
11-Dec-15,1072.5,2012.369995
10-Dec-15,1071,2052.22998
9-Dec-15,1081,2047.619995
8-Dec-15,1072.1,2063.590088
7-Dec-15,1075.8,2077.070068
4-Dec-15,1079.3,2091.689941
3-Dec-15,1055.5,2049.620117
2-Dec-15,1055.4,2079.51001
1-Dec-15,1065.4,2102.629883
30-Nov-15,1061.9,2080.409912
27-Nov-15,1057.4,2090.110107
26-Nov-15,1071,2088.870117
25-Nov-15,1068,2088.870117
24-Nov-15,1076.4,2089.139893
23-Nov-15,1070.5,2086.590088
20-Nov-15,1081.8,2089.169922
19-Nov-15,1082.6,2081.23999
18-Nov-15,1067.8,2083.580078
17-Nov-15,1079.2,2050.439941
16-Nov-15,1084.8,2053.189941
13-Nov-15,1081.5,2023.040039
12-Nov-15,1087.4,2045.969971
11-Nov-15,1085.9,2075
10-Nov-15,1087.1,2081.719971
9-Nov-15,1089.6,2078.580078
6-Nov-15,1088.9,2099.199951
5-Nov-15,1106.3,2099.929932
4-Nov-15,1114.7,2102.310059
3-Nov-15,1123.1,2109.790039
2-Nov-15,1134,2104.050049
30-Oct-15,1142.4,2079.360107
29-Oct-15,1148.6,2089.409912
28-Oct-15,1179.6,2090.350098
27-Oct-15,1165.7,2065.889893
26-Oct-15,1166.4,2071.179932
23-Oct-15,1161.3,2075.149902
22-Oct-15,1167,2052.51001
21-Oct-15,1167.1,2018.939941
20-Oct-15,1177.8,2030.77002
19-Oct-15,1175.4,2033.660034
16-Oct-15,1180.9,2033.109985
15-Oct-15,1184.3,2023.859985
14-Oct-15,1173.9,1994.23999
13-Oct-15,1165.2,2003.689941
12-Oct-15,1164.9,2017.459961
9-Oct-15,1151.6,2014.890015
8-Oct-15,1140,2013.430054
7-Oct-15,1144.6,1995.829956
6-Oct-15,1147.5,1979.920044
5-Oct-15,1139.8,1987.050049
2-Oct-15,1140.8,1951.359985
1-Oct-15,1119,1923.819946
30-Sep-15,1114,1920.030029
